nature_id,name,decreased_stat_name,hates_flavor_name,increased_stat_name,likes_flavor_name,move_battle_style_1_name,move_battle_style_1_high_hp_preference,move_battle_style_1_low_hp_preference,move_battle_style_2_name,move_battle_style_2_high_hp_preference,move_battle_style_2_low_hp_preference,move_battle_style_3_name,move_battle_style_3_high_hp_preference,move_battle_style_3_low_hp_preference,pokeathlon_stat_change_1_name,pokeathlon_stat_change_1_max_change,pokeathlon_stat_change_2_name,pokeathlon_stat_change_2_max_change
1,hardy,,,,,attack,61,61,defense,7,7,support,32,32,speed,-1,power,1
2,bold,attack,spicy,defense,sour,attack,30,32,defense,20,58,support,50,10,speed,-2,skill,2
3,modest,attack,spicy,special-attack,dry,attack,35,34,defense,45,60,support,20,6,speed,-2,jump,2
4,calm,attack,spicy,special-defense,bitter,attack,40,25,defense,50,62,support,10,13,speed,-2,power,2
5,timid,attack,spicy,speed,sweet,attack,62,30,defense,10,20,support,28,50,speed,2,power,-2
6,lonely,defense,sour,attack,spicy,attack,20,84,defense,25,8,support,55,8,speed,2,skill,-2
7,docile,,,,,attack,56,56,defense,22,22,support,22,22,skill,1,jump,-1
8,mild,defense,sour,special-attack,dry,attack,44,34,defense,50,6,support,6,60,skill,-2,jump,2
9,gentle,defense,sour,special-defense,bitter,attack,18,90,defense,70,5,support,12,5,speed,2,skill,-2
10,hasty,defense,sour,speed,sweet,attack,58,88,defense,37,6,support,5,6,speed,2,skill,-2
11,adamant,special-attack,dry,attack,spicy,attack,38,70,defense,31,15,support,31,15,speed,2,jump,-2
12,impish,special-attack,dry,defense,sour,attack,69,28,defense,6,55,support,25,17,skill,2,jump,-2
13,bashful,,,,,attack,30,30,defense,58,58,support,12,12,speed,-1,jump,1
14,careful,special-attack,dry,special-defense,bitter,attack,42,42,defense,50,5,support,8,53,power,2,jump,-2
15,rash,special-defense,bitter,special-attack,dry,attack,30,27,defense,13,6,support,57,67,power,-2,jump,2
16,jolly,special-attack,dry,speed,sweet,attack,35,35,defense,5,60,support,60,5,speed,2,jump,-2
17,naughty,special-defense,bitter,attack,spicy,attack,20,70,defense,70,22,support,10,8,speed,2,power,-2
18,lax,special-defense,bitter,defense,sour,attack,35,29,defense,10,6,support,55,65,speed,-2,skill,2
19,quirky,,,,,attack,56,56,defense,22,22,support,22,22,speed,1,skill,-1
20,naive,special-defense,bitter,speed,sweet,attack,56,56,defense,22,22,support,22,22,speed,2,power,-2
21,brave,speed,sweet,attack,spicy,attack,70,32,defense,15,60,support,15,8,speed,-2,power,2
22,relaxed,speed,sweet,defense,sour,attack,25,75,defense,15,15,support,60,10,speed,-2,skill,2
23,quiet,speed,sweet,special-attack,dry,attack,56,56,defense,22,22,support,22,22,speed,-2,jump,2
24,sassy,speed,sweet,special-defense,bitter,attack,88,22,defense,6,20,support,6,58,speed,-2,power,2
25,serious,,,,,attack,34,29,defense,11,11,support,55,60,speed,1,power,-1
